app_id,completion_time_mins,household_size,income,docs_with_app,docs_after_app,under18_n,over_59_n,stable_housing,had_interview,zip,approved
1,16.5778855,1,1980,0,3,0,0,TRUE,TRUE,92107,TRUE
21,12.0205923,1,2259,0,0,0,1,TRUE,NA,92103,FALSE
63,5.987928752,1,757,1,0,0,0,FALSE,NA,92114,FALSE
187,21.32624123,1,13,1,0,0,0,TRUE,TRUE,92139,TRUE
207,8.140832567,3,1,1,1,0,0,TRUE,NA,92107,TRUE
271,8.868917867,4,25,0,0,3,0,FALSE,FALSE,92173,FALSE
284,9.459743953,1,17,0,0,0,0,TRUE,FALSE,92104,TRUE
315,6.616398251,1,1819,1,0,0,0,TRUE,FALSE,92105,TRUE
354,7.569235182,1,6,1,0,0,0,TRUE,TRUE,92105,TRUE
375,6.938653084,1,920,0,2,0,1,TRUE,FALSE,92122,FALSE
376,7.595099648,1,15,2,0,0,0,TRUE,NA,92105,FALSE
396,8.353036718,1,818,0,0,0,0,TRUE,FALSE,92110,FALSE
461,12.7322341,1,1217,0,0,0,0,TRUE,NA,92104,FALSE
495,10.58995237,1,2062,1,0,0,0,TRUE,NA,92154,FALSE
563,6.109115767,1,6,0,0,0,0,TRUE,TRUE,92114,TRUE
573,7.365301685,1,857,0,2,0,0,TRUE,FALSE,92105,TRUE
641,10.74095608,1,4,0,1,0,0,FALSE,NA,92113,TRUE
655,22.56390376,3,2095,0,0,2,0,TRUE,TRUE,92105,TRUE
659,16.3481452,4,3302,1,0,3,0,TRUE,TRUE,92154,FALSE
685,13.17890715,1,989,5,0,0,0,TRUE,NA,92102,FALSE
722,10.0585603,1,13,1,0,0,0,FALSE,FALSE,92173,FALSE
724,10.60595008,3,2012,0,4,2,0,TRUE,TRUE,92114,TRUE
802,11.78908778,4,22,0,2,3,0,TRUE,FALSE,92120,TRUE
847,8.644519881,3,1,7,0,2,0,FALSE,NA,92111,TRUE
937,21.51932375,2,2582,0,0,0,0,TRUE,FALSE,92107,FALSE
977,21.97523213,1,21,4,0,0,0,FALSE,TRUE,92101,FALSE
1005,22.67293152,4,3475,0,4,2,0,TRUE,TRUE,92113,FALSE
1015,35.8496507,3,9779,0,0,1,0,TRUE,FALSE,92114,FALSE
1053,9.080547516,1,1997,0,3,0,0,TRUE,FALSE,92154,FALSE
1064,14.3578125,1,25,2,0,0,0,TRUE,NA,92114,TRUE
1070,10.56709402,2,8,0,0,1,0,TRUE,NA,92105,TRUE
1134,59.70413893,1,1204,2,3,0,0,TRUE,TRUE,92116,TRUE
1176,13.34704565,2,10,0,0,1,0,FALSE,NA,92113,FALSE
1217,149.6038282,2,12,0,0,1,0,TRUE,TRUE,92115,FALSE
1233,18.07614357,2,2240,0,3,1,0,TRUE,TRUE,92101,TRUE
1246,4.913059386,1,1523,0,0,0,0,TRUE,FALSE,92108,TRUE
1355,13.16194445,1,1309,6,0,0,0,TRUE,TRUE,92111,TRUE
1369,25.899296,3,1874,0,0,0,0,TRUE,NA,92117,FALSE
1388,12.42402287,2,321,0,1,1,0,TRUE,FALSE,92173,FALSE
1408,13.61540887,4,19,0,0,2,0,TRUE,NA,92105,FALSE
1430,10.13494662,2,2076,0,0,0,1,TRUE,NA,92101,FALSE
1440,11.34171633,3,2,0,0,1,0,FALSE,NA,92105,FALSE
1538,17.62683575,2,1555,0,3,1,0,TRUE,TRUE,92105,FALSE
1558,19.155698,2,1220,0,0,0,0,TRUE,TRUE,92126,FALSE
1570,6.614891116,1,5,0,0,0,0,FALSE,NA,92113,FALSE
1575,5.818214285,3,1216,0,2,1,0,TRUE,TRUE,92113,FALSE
1635,9.8135366,1,1700,0,1,0,1,TRUE,TRUE,92123,TRUE
1639,17.20517629,6,3225,0,0,2,0,TRUE,NA,92139,FALSE
1692,59.04900652,3,2518,0,2,1,0,FALSE,FALSE,92129,FALSE
1724,12.10806598,5,669,11,0,3,0,TRUE,FALSE,92154,FALSE
1726,7.709880447,4,1310,9,0,2,0,TRUE,FALSE,92154,FALSE
1754,18.42588652,5,1531,1,0,4,0,FALSE,TRUE,92124,FALSE
1765,9.772263984,5,3125,0,0,3,0,TRUE,NA,92173,FALSE
1769,10.46948156,2,2509,0,0,1,0,TRUE,NA,92103,FALSE
1774,11.28828898,4,4968,0,0,2,0,TRUE,FALSE,92105,FALSE
1779,5.726762986,1,1150,3,0,0,0,TRUE,FALSE,92101,TRUE
1792,11.50219815,1,2,0,0,0,0,FALSE,NA,92154,TRUE
1819,6.761496301,1,1,0,2,0,0,TRUE,TRUE,92139,TRUE
1867,24.92526217,2,2610,0,8,0,0,TRUE,TRUE,92109,FALSE
1894,29.36856863,1,1005,0,0,0,0,TRUE,NA,92126,FALSE
1959,6.98253595,1,24,3,0,0,0,TRUE,TRUE,92115,TRUE
1978,10.37829093,1,17,0,0,0,0,FALSE,TRUE,92108,FALSE
2046,11.18503025,2,1450,0,0,0,0,FALSE,NA,92154,FALSE
2069,3.842995616,2,312,3,0,1,0,FALSE,FALSE,92102,FALSE
2146,234.8432018,2,2441,2,7,1,0,TRUE,NA,92113,TRUE
2149,23.70463535,1,10,0,0,0,0,TRUE,NA,92105,FALSE
2169,7.64761682,3,1251,3,1,2,0,TRUE,FALSE,92104,FALSE
